name,keyword,snippet
actionFlag.png,actionFlag.png,"<img style=""vertical-align: middle;"" src=""https://cdn.zapier.com/storage/photos/c311b7262592a48d09d56319069c6689.png"" width=""24"" aria-hidden=""true"">"
actionFlagFill.png,actionFlagFill.png,"<img style=""vertical-align: middle;"" src=""https://cdn.zapier.com/storage/photos/bbb64e1c5f0730371f033382c3ac69a0.png"" width=""24"" aria-hidden=""true"">"
actionInsert.png,actionInsert.png,"<img style=""vertical-align: middle;"" src=""https://cdn.zapier.com/storage/photos/c0c00a4360f1f8d8372f09670f2e7da5.png"" width=""24"" aria-hidden=""true"">"
actionLink.png,actionLink.png,"<img style=""vertical-align: middle;"" src=""https://cdn.zapier.com/storage/photos/baa5b3a64988a15f0dc8497c52ec257b.png"" width=""24"" aria-hidden=""true"">"
actionLock.png,actionLock.png,"<img style=""vertical-align: middle;"" src=""https://cdn.zapier.com/storage/photos/9efbd2091ca88be6bfa0febc749e7cf9.png"" width=""24"" aria-hidden=""true"">"
actionLockFill.png,actionLockFill.png,"<img style=""vertical-align: middle;"" src=""https://cdn.zapier.com/storage/photos/72064fa68f1e2000d989a6bc9c329abd.png"" width=""24"" aria-hidden=""true"">"
actionMoveToFolder.png,actionMoveToFolder.png,"<img style=""vertical-align: middle;"" src=""https://cdn.zapier.com/storage/photos/e0986a7e2f57e63dc48bf860144b8c8e.png"" width=""24"" aria-hidden=""true"">"
actionMoveToFolderFill.png,actionMoveToFolderFill.png,"<img style=""vertical-align: middle;"" src=""https://cdn.zapier.com/storage/photos/135210c36fbe98d842c170c06d5a7a8a.png"" width=""24"" aria-hidden=""true"">"
actionPhoto.png,actionPhoto.png,"<img style=""vertical-align: middle;"" src=""https://cdn.zapier.com/storage/photos/9122fd96f8dd638ad2f90d33ae57d27b.png"" width=""24"" aria-hidden=""true"">"
actionPhotoFill.png,actionPhotoFill.png,"<img style=""vertical-align: middle;"" src=""https://cdn.zapier.com/storage/photos/0c5603c2c2fc5a9d44bac9c59951773c.png"" width=""24"" aria-hidden=""true"">"
actionPin.png,actionPin.png,"<img style=""vertical-align: middle;"" src=""https://cdn.zapier.com/storage/photos/de0bee83e7344532dbd2ab5df8ff791b.png"" width=""24"" aria-hidden=""true"">"
actionPinFill.png,actionPinFill.png,"<img style=""vertical-align: middle;"" src=""https://cdn.zapier.com/storage/photos/3809b5b0467261a0e4267c19fbb5235e.png"" width=""24"" aria-hidden=""true"">"
actionPlay.png,actionPlay.png,"<img style=""vertical-align: middle;"" src=""https://cdn.zapier.com/storage/photos/cf39dcfff95d5bba0892d167e30f87a6.png"" width=""24"" aria-hidden=""true"">"
actionPlayFill.png,actionPlayFill.png,"<img style=""vertical-align: middle;"" src=""https://cdn.zapier.com/storage/photos/2265ebb57885e6d41a6d2dd427079e96.png"" width=""24"" aria-hidden=""true"">"
actionRename.png,actionRename.png,"<img style=""vertical-align: middle;"" src=""https://cdn.zapier.com/storage/photos/eaffbd9f968c19d8e262f650fe74e180.png"" width=""24"" aria-hidden=""true"">"
actionRenameFill.png,actionRenameFill.png,"<img style=""vertical-align: middle;"" src=""https://cdn.zapier.com/storage/photos/9b2fdd30598fb620af014a6f91de191e.png"" width=""24"" aria-hidden=""true"">"
actionResend.png,actionResend.png,"<img style=""vertical-align: middle;"" src=""https://cdn.zapier.com/storage/photos/5dbb0701b99add3ef4452933414da3a0.png"" width=""24"" aria-hidden=""true"">"
actionResendFill.png,actionResendFill.png,"<img style=""vertical-align: middle;"" src=""https://cdn.zapier.com/storage/photos/480703470bb0f5638ed72de0e910cfc0.png"" width=""24"" aria-hidden=""true"">"
actionSend.png,actionSend.png,"<img style=""vertical-align: middle;"" src=""https://cdn.zapier.com/storage/photos/0d59eb5a314eb2798cb8cf3c7774aa6c.png"" width=""24"" aria-hidden=""true"">"
actionSendFill.png,actionSendFill.png,"<img style=""vertical-align: middle;"" src=""https://cdn.zapier.com/storage/photos/36b1ce321682659ce0fe1349bee1fa43.png"" width=""24"" aria-hidden=""true"">"
actionShare.png,actionShare.png,"<img style=""vertical-align: middle;"" src=""https://cdn.zapier.com/storage/photos/7256d5cb56cc7b3aef8cf2af5eefb0f8.png"" width=""24"" aria-hidden=""true"">"
actionShareFill.png,actionShareFill.png,"<img style=""vertical-align: middle;"" src=""https://cdn.zapier.com/storage/photos/cc949df69148f1512e39d7848a145b5d.png"" width=""24"" aria-hidden=""true"">"
actionSwitchAccount.png,actionSwitchAccount.png,"<img style=""vertical-align: middle;"" src=""https://cdn.zapier.com/storage/photos/0b90bc5ea890ed10e336d1b09ee47878.png"" width=""24"" aria-hidden=""true"">"
actionSwitchAccountFill.png,actionSwitchAccountFill.png,"<img style=""vertical-align: middle;"" src=""https://cdn.zapier.com/storage/photos/6d577c8da515ecb2817043c03f0324f2.png"" width=""24"" aria-hidden=""true"">"
actionTrash.png,actionTrash.png,"<img style=""vertical-align: middle;"" src=""https://cdn.zapier.com/storage/photos/2e5e53fe84475a03f9d12b90368403eb.png"" width=""24"" aria-hidden=""true"">"
actionTrashFill.png,actionTrashFill.png,"<img style=""vertical-align: middle;"" src=""https://cdn.zapier.com/storage/photos/78891c6d54b161a38cbed3ede31118af.png"" width=""24"" aria-hidden=""true"">"
zapDetails.png,zapDetails.png,"<img style=""vertical-align: middle;"" src=""https://cdn.zapier.com/storage/photos/632de24c20ffae55d1486012de4d83c7.png"" width=""24"" aria-hidden=""true"">"
zapDetailsFill.png,zapDetailsFill.png,"<img style=""vertical-align: middle;"" src=""https://cdn.zapier.com/storage/photos/9c0d021f337c3c08f3b5565ec374aa08.png"" width=""24"" aria-hidden=""true"">"
actionCompare.png,actionCompare.png,"<img style=""vertical-align: middle;"" src=""https://cdn.zapier.com/storage/photos/968dea35d7fac86518c22e294999dd6a.png"" width=""24"" aria-hidden=""true"">"
